domain_abb;domain_name;domain_description;domain_tags;files
fin;finance;financial matters including accounts, credit cards, loans, transactions, expenses, budget and securities;TRANSACTION,PAYEE,RULE,REIMBURSEMENT,IMPORT_LOG
med; medical;health and medical concers. medications, doctors, disorders, surgeries, allergies, treatments
sch;school;schools attended, degrees, courses, grades,teachers,majors, degrees
wor;work;jobs,bosses,employees,companies,salaries,customers, vendors, projects,skills, duties
per;personal;family,friends,organizations,preferences,relationships
new;news;interests,news sources,podcasts, youtube channels,blogs,newsletters
sys;system;internal information needed for system functioning only
sec;security;passwords,credentials
com;communication;email,messages,phone_calls, contact_info,faxes
doc;documents;articles
mda;media;photos, videos, audio files, and other media content;photo,video,audio;MDA.PHOTO,MDA.PHOTO_GROUP


