DomainAbb,DomainName,DomainNum,Description,Tags,Files,Priority,Status
fin,Finance,1,Financial matters including accounts credit cards loans transactions expenses budget and securities,money|banking|investment,ACCOUNT|TRANSACTION|CREDIT_CARD|LOAN|INVESTMENT,1,active
med,Medical,2,Health and medical concerns medications doctors disorders surgeries allergies treatments,health|healthcare|clinical,MEDICATION|DOCTOR|ALLERGY|MEDICAL_HISTORY|MEDICAL_TEST|APPOINTMENT|IMMUNIZATION|VITAL_SIGNS|HEALTHCARE_FACILITY|PHARMACY|INSURANCE,1,active
sch,School,3,Schools attended degrees courses grades teachers majors degrees,education|learning|academic,SCHOOL|COURSE|GRADE|TEACHER|DEGREE,2,active
wor,Work,4,Jobs bosses employees companies salaries customers vendors projects skills duties,employment|career|business,COMPANY|JOB|PROJECT|SKILL|TASK,1,active
per,Personal,5,Family friends organizations preferences relationships,social|contacts|people,PERSON|PLACE|EVENT|CONVERSATION,1,active
new,News,6,Interests news sources podcasts youtube channels blogs newsletters,media|content|information,SOURCE|ARTICLE|SUBSCRIPTION,2,active
sys,System,7,Internal information needed for system functioning only,internal|admin|config,SESSION|LOG|INTEGRATION|DEVICE,1,active
sec,Security,8,Passwords credentials authentication,security|auth|credentials,PASSWORD|MASTER_PASSWORD,1,active
com,Communication,9,Email messages phone calls contact info faxes,messaging|correspondence,EMAIL|MESSAGE|CALL,1,active
doc,Documents,10,Articles files papers reports,files|storage|content,DOCUMENT|ATTACHMENT,2,active
ai,AI,11,AI models personas prompts memories conversations,artificial_intelligence|ml|llm,MODEL|PERSONA|PROMPT|MEMORY,1,active
